6.666666666666666574e-02 -3.746195067425997505e-01 3.168566186428070068e+02
5.941672920891636483e-02 -4.260279439396883472e-01 3.965704176425933838e+02
5.295521564828542527e-02 -4.838843432783683229e-01 4.578671736717224121e+02
4.719638562560919681e-02 -5.489708300801235952e-01 5.318740181922912598e+02
4.206382296534622034e-02 -6.221648822545924329e-01 6.211795957088470459e+02
3.748942167935660763e-02 -7.044514349942361253e-01 7.304736323356628418e+02
3.341248224181814219e-02 -7.969350885571057086e-01 8.504453620910644531e+02
2.977890614339753078e-02 -9.008537717958208235e-01 1.008672370433807373e+03
2.654047803689982277e-02 -1.017602648086030293e+00 1.197379221200942993e+03
2.365422594890503188e-02 -1.148734249737908941e+00 1.404447770595550537e+03
2.108185106778919307e-02 -1.296007540211514542e+00 1.675686289548873901e+03
1.878921954176302270e-02 -1.461383645666600728e+00 2.005282290220260620e+03
1.674590954339719509e-02 -1.647066483285166472e+00 2.371035874605178833e+03
1.492480759045559935e-02 -1.855530043694832321e+00 2.874303453207015991e+03
1.330174876645919164e-02 -2.089550764832880603e+00 3.368350164890289307e+03
1.185519606692615226e-02 -2.352238758168012644e+00 3.982709189414978027e+03
1.056595461640742230e-02 -2.647089515264986037e+00 4.823212966442108154e+03
9.416916964151693381e-03 -2.978025429280664937e+00 5.671477616310119629e+03
8.392836078627782109e-03 -3.349440656773842839e+00 6.688988414287567139e+03
7.480123028679752997e-03 -3.766272592296411759e+00 8.076880499124526978e+03
6.666666666666666227e-03 -4.234059013103615321e+00 9.674374045133590698e+03
5.941672920891639259e-03 -4.759013929226975748e+00 1.144157725811004639e+04
5.295521564828542527e-03 -5.348106053612569077e+00 1.343507781147956848e+04
4.719638562560915344e-03 -6.009161017080444367e+00 1.583405263781547546e+04
4.206382296534619605e-03 -6.750956224778764003e+00 1.891672508740425110e+04
3.748942167935660503e-03 -7.583336920238397560e+00 2.235742702698707581e+04
3.341248224181816127e-03 -8.517356695224959751e+00 2.641005536150932312e+04
2.977890614339753512e-03 -9.565414144033477228e+00 3.108607180190086365e+04
2.654047803689979241e-03 -1.074141929416039254e+01 3.710357400226593018e+04
2.365422594890502148e-03 -1.206097908235122240e+01 4.375604378914833069e+04
2.108185106778919307e-03 -1.354160658290246388e+01 5.147293172383308411e+04
1.878921954176303050e-03 -1.520295450539985715e+01 6.126621633362770081e+04
1.674590954339719552e-03 -1.706707173507609809e+01 3.737688985514640808e+04
1.492480759045558417e-03 -1.915869882661796453e+01 4.134729582595825195e+04
1.330174876645919208e-03 -2.150559079271823038e+01 4.876075378060340881e+04
1.185519606692615096e-03 -2.413889266751255391e+01 5.285618982481956482e+04
1.056595461640742577e-03 -2.709354920945538936e+01 5.855057987761497498e+04
9.416916964151692731e-04 -3.040877057023174501e+01 6.913307181429862976e+04
8.392836078627773869e-04 -3.412855042412906670e+01 8.486260657119750977e+04
