2.000000000000000174e-07 6.815411057262303829e+08 5.788695652417735755e+07 5.451281070709228516e+00
1.706335704834561180e-07 9.988008242300838232e+08 9.977517681515470147e+07 7.632310628890991211e+00
1.455790768796630061e-07 1.459275001467100859e+09 1.700982222343757749e+08 1.001156544685363770e+01
1.242033883783123321e-07 2.126904584101910353e+09 2.870083100711086392e+08 1.152577710151672363e+01
1.059663381256741519e-07 3.094311500388402462e+09 4.795693405290599465e+08 1.436391115188598633e+01
9.040707312720487712e-08 4.495879029870691299e+09 7.939146918120520115e+08 2.048534607887268066e+01
7.713240842326946073e-08 6.525752569703224182e+09 1.302322988163319588e+09 2.559932398796081543e+01
6.580689124625335241e-08 9.464651992127038956e+09 2.116912782275412083e+09 2.959137940406799316e+01
5.614432407882354312e-08 1.371790581679241180e+10 3.409731544766199112e+09 4.558475542068481445e+01
4.790053239974971806e-08 1.986701308419094086e+10 5.440922535662773132e+09 5.447871708869934082e+01
4.086719435713884283e-08 2.874560993805049896e+10 8.599899695588455200e+09 7.491518259048461914e+01
3.486657644399976943e-08 4.153938199649295807e+10 1.346085886527510071e+10 9.632551884651184082e+01
2.974704214587022236e-08 5.992988732304478455e+10 2.086168043987332916e+10 1.205702738761901855e+02
2.537922006335844409e-08 8.628605104627658081e+10 3.200965855492023468e+10 1.581205904483795166e+02
2.165273467748109494e-08 1.239296055253860168e+11 4.862689912958895874e+10 2.037412300109863281e+02
1.847341714374772475e-08 1.774969886590417175e+11 7.314776758784635925e+10 2.745185792446136475e+02
1.576092563133982606e-08 2.534336729526697388e+11 1.089874250483112335e+11 3.544939270019531250e+02
1.344671507299867058e-08 3.606721498238971558e+11 1.609087493458356628e+11 4.734321198463439941e+02
1.147230502089735800e-08 5.115568115020729980e+11 2.355217449322825012e+11 6.110250215530395508e+02
9.787801836954989738e-09 7.231203240469605713e+11 3.419713771854335938e+11 8.108640463352203369e+02
8.350637873120802572e-09 1.018827486327758301e+12 4.928766597126502075e+11 1.066909142255783081e+03
7.124495780524889293e-09 1.430974833538736572e+12 7.056220814301579590e+11 1.481355597496032715e+03
6.078390764626395741e-09 2.003985301983577637e+12 1.004130326975270630e+12 1.951511143922805786e+03
5.185887594809334772e-09 2.798937204362702637e+12 1.421299002507025879e+12 2.539485161066055298e+03
4.424432582140901115e-09 3.899775069116624512e+12 2.002341640205015869e+12 3.176132995843887329e+03
3.774783644270195576e-09 5.421881274106843750e+12 2.809400423917731445e+12 4.079601269245147705e+03
3.220524055121878787e-09 7.523767842215682617e+12 3.927834490880995117e+12 5.342134374141693115e+03
2.747647591766525195e-09 1.042330209879324805e+13 5.474953339036327148e+12 6.913646169424057007e+03
2.344204595066961230e-09 1.441974822963124414e+13 7.611871199296791016e+12 9.261985659599304199e+03
2.000000000000000538e-09 1.992433778480739453e+13 1.055995934797564453e+13 1.185988639998435974e+04
