1.000000000000000056e-01 1.989437051426454495e-01 2.260733915507268099e-02 5.740883677695101869e-03 1.970874243166032946e-03 7.841945448747436251e-04 3.385581556581625544e-04 1.534772539592858733e-04 7.177966672475252004e-05 3.429026638950945569e-05 1.663328274633699581e-05 8.389060020446777344e+00
8.912509381337455072e-02 2.232185626892759511e-01 2.561910615055123727e-02 6.608790979730590730e-03 2.315713268460494779e-03 9.441286662179906300e-04 4.189553742272295435e-04 1.956575454210552310e-04 9.441752400636156391e-05 4.658679046117157932e-05 2.335536600886315323e-05 8.235060691833496094e+00
7.943282347242813790e-02 2.504554142727041244e-01 2.900319316126775959e-02 7.588843738944992499e-03 2.708971124259992608e-03 1.129300546315542466e-03 5.139284427320312421e-04 2.467062464953787069e-04 1.225729625992270173e-04 6.233675299150536473e-05 3.223441440212282275e-05 9.542731285095214844e+00
7.079457843841380216e-02 2.810155906601567999e-01 3.280462121104672085e-02 8.694316259451403614e-03 3.156287213483187533e-03 1.342699272883956249e-03 6.253291100969755791e-04 3.078954722942470385e-04 1.571679641022177051e-04 8.221922915328015258e-05 4.376791981911289494e-05 1.054226922988891602e+01
6.309573444801933051e-02 3.153046284522055265e-01 3.707393059454617418e-02 9.940105430846305976e-03 3.663963817581624913e-03 1.587631615669316681e-03 7.551792394774538460e-04 3.806029794013835203e-04 1.992039662903299067e-04 1.069823340168401062e-04 5.851641715181616900e-05 1.070523214340209961e+01
5.623413251903491145e-02 3.537775495282629024e-01 4.186783972345123339e-02 1.134292253103635385e-02 4.239043906890360182e-03 1.867759406527453063e-03 9.056885132298635351e-04 4.663180714255440442e-04 2.497611107870647260e-04 1.374400109699004018e-04 7.710069349926839137e-05 1.366774940490722656e+01
5.011872336272722023e-02 3.969449175569290666e-01 4.725004933457910283e-02 1.292156774852945035e-02 4.889456030755816654e-03 2.187190723987383813e-03 1.079314323842537476e-03 5.666795546076541269e-04 3.100206898125569999e-04 1.744846267443224614e-04 1.002091227058294677e-04 1.413148999214172363e+01
4.466835921509629964e-02 4.453795043815989563e-01 5.329201519685997090e-02 1.469711132038801181e-02 5.624056002445617167e-03 2.550481840633365277e-03 1.278752286169486515e-03 6.834628445633502683e-04 3.812513004269622646e-04 2.190736861797617141e-04 1.285863134268331578e-04 1.507229018211364746e+01
3.981071705534973415e-02 4.997240047603517255e-01 6.007395005774127800e-02 1.669321453213910844e-02 6.452778856784211446e-03 2.962723809244534236e-03 1.506989658000361691e-03 8.186128059419362640e-04 4.648274504597560441e-04 2.722387530361167576e-04 1.630361991641946060e-04 1.585519242286682129e+01
3.548133892335755130e-02 5.606995366196169117e-01 6.768589245629712259e-02 1.893647373441951012e-02 7.386811615097703745e-03 3.429651010361595836e-03 1.767380751872337863e-03 9.742974143132104208e-04 5.622668067948514807e-04 3.351100458596108222e-04 2.044374584896480431e-04 1.782995533943176270e+01
3.162277660168379134e-02 6.291152119804065412e-01 7.622886536717859984e-02 2.145671919974320718e-02 8.438678918634558851e-03 3.957658453775389842e-03 2.063641257002563935e-03 1.152894949732955268e-03 6.752155126694852662e-04 4.089015152953903763e-04 2.537291312716725782e-04 1.879010009765625000e+01
2.818382931264453578e-02 7.058788650183072111e-01 8.581626102375211618e-02 2.428746629342068766e-02 9.622473889600217586e-03 4.553948676520125881e-03 2.399951756700333030e-03 1.357069926344557295e-03 8.055039663019343587e-04 4.949508563825241085e-04 3.119382638020508900e-04 2.075726127624511719e+01
2.511886431509579437e-02 7.920090991091911503e-01 9.657530567085141626e-02 2.746632162416602282e-02 1.095400067512067310e-02 5.226584961614939850e-03 2.780976348205169667e-03 1.589777662372502233e-03 9.551453625096868912e-04 5.947150166194561374e-04 3.801735654131642938e-04 2.360628652572631836e+01
