1.000000000000000056e-01 1.989437051426454495e-01 2.260733915507267752e-02 5.740883677695101002e-03 1.079310417175292969e+01
8.912509381337455072e-02 2.232185626892759234e-01 2.561910615055123727e-02 6.608790979730590730e-03 1.118881940841674805e+01
7.943282347242813790e-02 2.504554142727041799e-01 2.900319316126777000e-02 7.588843738944988163e-03 1.297184538841247559e+01
7.079457843841380216e-02 2.810155906601567999e-01 3.280462121104672085e-02 8.694316259451405349e-03 1.332837700843811035e+01
6.309573444801933051e-02 3.153046284522054710e-01 3.707393059454616724e-02 9.940105430846309445e-03 1.395045900344848633e+01
5.623413251903491145e-02 3.537775495282627913e-01 4.186783972345122645e-02 1.134292253103636079e-02 1.552441000938415527e+01
5.011872336272722023e-02 3.969449175569290666e-01 4.725004933457909589e-02 1.292156774852945555e-02 1.755560255050659180e+01
4.466835921509629964e-02 4.453795043815989563e-01 5.329201519685997090e-02 1.469711132038800661e-02 1.837254881858825684e+01
3.981071705534973415e-02 4.997240047603517255e-01 6.007395005774127106e-02 1.669321453213910844e-02 1.873667716979980469e+01
3.548133892335755130e-02 5.606995366196169117e-01 6.768589245629712259e-02 1.893647373441951012e-02 2.051467037200927734e+01
3.162277660168379134e-02 6.291152119804066523e-01 7.622886536717857209e-02 2.145671919974320718e-02 2.251491737365722656e+01
2.818382931264453578e-02 7.058788650183072111e-01 8.581626102375210230e-02 2.428746629342069113e-02 2.615772867202758789e+01
2.511886431509579437e-02 7.920090991091911503e-01 9.657530567085141626e-02 2.746632162416601936e-02 2.672026276588439941e+01
2.238721138568339902e-02 8.886488161467316349e-01 1.086487879957708652e-01 3.103551333071236790e-02 2.718836617469787598e+01
1.995262314968878833e-02 9.970803606164684307e-01 1.221969241826814240e-01 3.504243752521528366e-02 2.954014730453491211e+01
1.778279410038922925e-02 1.118742556271553834e+00 1.373995008132387341e-01 3.954029242799361049e-02 3.226682376861572266e+01
1.584893192461113431e-02 1.255249784685199987e+00 1.544582529213847366e-01 4.458878531818363800e-02 3.571921610832214355e+01
1.412537544622754007e-02 1.408413415865289453e+00 1.735995438973662597e-01 5.025492552729796114e-02 3.930601549148559570e+01
1.258925411794167490e-02 1.580265837805711726e+00 1.950773787897964462e-01 5.661391672538110265e-02 4.556650185585021973e+01
1.122018454301963036e-02 1.773087427647646264e+00 2.191767525711399989e-01 6.375015066198860825e-02 5.308253693580627441e+01
1.000000000000000021e-02 1.989436809824213226e+00 2.462174544000521326e-01 7.175833195064600101e-02 5.636687612533569336e+01
8.912509381337458889e-03 2.232184810699140876e+00 2.765583068192399852e-01 8.074473355003304598e-02 6.050641536712646484e+01
7.943282347242813790e-03 2.504552546789823975e+00 3.106019015790558724e-01 9.082860559643123055e-02 6.750535106658935547e+01
7.079457843841373450e-03 2.810154174199849919e+00 3.487999933595371527e-01 1.021437619355344828e-01 7.484379911422729492e+01
6.309573444801930275e-03 3.153044839752859652e+00 3.916594421513899249e-01 1.148403521698006385e-01 8.363754391670227051e+01
5.623413251903490971e-03 3.537774494306891171e+00 4.397489640088894092e-01 1.290868562530571029e-01 9.862809395790100098e+01
5.011872336272724625e-03 3.969448266927183777e+00 4.937066841345088553e-01 1.450723201413041397e-01 1.293927900791168213e+02
4.466835921509630485e-03 4.453794206199933825e+00 5.542485895845252752e-01 1.630088639157695196e-01 1.382255051136016846e+02
3.981071705534969078e-03 4.997239288104985633e+00 6.221780293768326420e-01 1.831344967027472570e-01 1.374131426811218262e+02
3.548133892335753221e-03 5.606994698995497295e+00 6.983963958961066920e-01 2.057162754803558424e-01 1.654757480621337891e+02
3.162277660168379394e-03 6.291151522459354162e+00 7.839150513351705873e-01 2.310538481253517906e-01 1.846462380886077881e+02
2.818382931264454792e-03 7.058788103996798569e+00 8.798687764796827571e-01 2.594834301882479877e-01 2.194682884216308594e+02
2.511886431509579437e-03 7.920090515041039225e+00 9.875308296525385776e-01 2.913822662402191233e-01 2.316415328979492188e+02
