8.000000000000007050e-07 2.223865236252819002e+08 2.371668294547865167e+06 1.617813076972961426e+02
7.990000000000006298e-07 2.230191104460356534e+08 2.383581636389570311e+06 1.712574031352996826e+02
7.980000000000006606e-07 2.236542355392152369e+08 2.395565636228562798e+06 1.749086170196533203e+02
7.970000000000006913e-07 2.242756458259318769e+08 2.407252026657332666e+06 1.812588951587677002e+02
7.960000000000007221e-07 2.249157767682309151e+08 2.419375429432425648e+06 1.818830971717834473e+02
7.950000000000006469e-07 2.255584852125218511e+08 2.431570945880569518e+06 1.837821078300476074e+02
7.940000000000006777e-07 2.262037846916644573e+08 2.443839080094740726e+06 1.842971906661987305e+02
7.930000000000007084e-07 2.268516888264605701e+08 2.456180340258375742e+06 1.817226278781890869e+02
7.920000000000006333e-07 2.275022113263370991e+08 2.468595238683438860e+06 1.819541025161743164e+02
7.910000000000006641e-07 2.281553659900354147e+08 2.481084291848773137e+06 1.801400151252746582e+02
7.900000000000006948e-07 2.288111667063069642e+08 2.493648020438896958e+06 1.764352965354919434e+02
7.890000000000006197e-07 2.294696274546117783e+08 2.506286949383233674e+06 1.883760507106781006e+02
7.880000000000006504e-07 2.301307623058296740e+08 2.519001607895691413e+06 1.847283685207366943e+02
7.870000000000006812e-07 2.307945854229710102e+08 2.531792529514716007e+06 1.823782699108123779e+02
7.860000000000007119e-07 2.314611110618971586e+08 2.544660252143772319e+06 1.843008184432983398e+02
7.850000000000006368e-07 2.321303535720498860e+08 2.557605318092164118e+06 1.820303256511688232e+02
7.840000000000006676e-07 2.328023273971838355e+08 2.570628274116420653e+06 1.874808251857757568e+02
7.830000000000006983e-07 2.334770470761069655e+08 2.583729671462012455e+06 1.810591068267822266e+02
7.820000000000006232e-07 2.341545272434254587e+08 2.596910065905538388e+06 1.864736289978027344e+02
7.810000000000006539e-07 2.348413823136909604e+08 2.610339254403691739e+06 1.808280341625213623e+02
7.800000000000006847e-07 2.355244693662485182e+08 2.623680677700458560e+06 1.881991300582885742e+02
7.790000000000006096e-07 2.362103617010595202e+08 2.637102805121847428e+06 1.830729737281799316e+02
7.780000000000006403e-07 2.368990743461920619e+08 2.650606211122078821e+06 1.835691325664520264e+02
7.770000000000006711e-07 2.375906224293832183e+08 2.664191474905669689e+06 1.851638057231903076e+02
7.760000000000007018e-07 2.382850211788212061e+08 2.677859180472505745e+06 1.851682236194610596e+02
7.750000000000006267e-07 2.389822859239483774e+08 2.691609916663266718e+06 1.867918431758880615e+02
7.740000000000006574e-07 2.396824320962621868e+08 2.705444277205395512e+06 1.834495882987976074e+02
7.730000000000006882e-07 2.403854752301257253e+08 2.719362860759521835e+06 1.902852098941802979e+02
7.720000000000006130e-07 2.410914309635897279e+08 2.733366270966433920e+06 1.838143031597137451e+02
7.710000000000006438e-07 2.418003150392166674e+08 2.747455116494515445e+06 1.802871689796447754e+02
7.700000000000006745e-07 2.425121433049179316e+08 2.761630011087710969e+06 1.884252381324768066e+02
7.690000000000005994e-07 2.432269317147908211e+08 2.775891573613999411e+06 1.893878061771392822e+02
7.680000000000006302e-07 2.439446963299728334e+08 2.790240428114416543e+06 1.900999684333801270e+02
7.670000000000006609e-07 2.446654539061996937e+08 2.804677790554246865e+06 1.991622493267059326e+02
7.660000000000006917e-07 2.453892195537305772e+08 2.819203127932784148e+06 1.894009144306182861e+02
7.650000000000006165e-07 2.461160102407768071e+08 2.833817660888171289e+06 1.968500142097473145e+02
7.640000000000006473e-07 2.468458424652821422e+08 2.848522034649490379e+06 2.039311714172363281e+02
7.630000000000006780e-07 2.475787328366015851e+08 2.863316899871865753e+06 1.977351346015930176e+02
7.620000000000006029e-07 2.483146980763936043e+08 2.878202912688631564e+06 2.016971685886383057e+02
7.610000000000006337e-07 2.490537550195332170e+08 2.893180734764217399e+06 2.008264162540435791e+02
7.600000000000006644e-07 2.497959206150242090e+08 2.908251033347561024e+06 2.003948934078216553e+02
7.590000000000005893e-07 2.505412119269210696e+08 2.923414481326121371e+06 1.995993850231170654e+02
7.580000000000006200e-07 2.512896461352699101e+08 2.938671757280460093e+06 1.992087936401367188e+02
7.570000000000006508e-07 2.520412405370392501e+08 2.954023545539413579e+06 1.978621394634246826e+02
7.560000000000006815e-07 2.527960125470802784e+08 2.969470536235941574e+06 1.983605310916900635e+02
7.550000000000006064e-07 2.535539796990811527e+08 2.985013425363480113e+06 1.962182538509368896e+02
7.540000000000006372e-07 2.543260717269972861e+08 3.000982599179589655e+06 2.050089871883392334e+02
7.530000000000006679e-07 2.550905630454670489e+08 3.016722445026895497e+06 2.004168398380279541e+02
7.520000000000005928e-07 2.558583035370238423e+08 3.032560345051306300e+06 2.066621124744415283e+02
7.510000000000006235e-07 2.566293112276435792e+08 3.048497019643092062e+06 2.071796269416809082e+02
7.500000000000006543e-07 2.574036042671610117e+08 3.064533195349464659e+06 1.995488047599792480e+02
7.490000000000005791e-07 2.581812009302834868e+08 3.080669604934924748e+06 2.063507010936737061e+02
7.480000000000006099e-07 2.589621196176165640e+08 3.096906987442161422e+06 2.028180611133575439e+02
7.470000000000006406e-07 2.597463788567057550e+08 3.113246088253763039e+06 2.092102456092834473e+02
7.460000000000006714e-07 2.605339973030735850e+08 3.129687659154626541e+06 2.022518842220306396e+02
7.450000000000005963e-07 2.613249937412851155e+08 3.146232458394798450e+06 2.067212822437286377e+02
7.440000000000006270e-07 2.621193870860078633e+08 3.162881250753437169e+06 2.100419211387634277e+02
7.430000000000006578e-07 2.629171963830911815e+08 3.179634807603109162e+06 2.018413038253784180e+02
